producer,mill,country_of_origin,variety,processing_method,aroma,flavor,aftertaste,acidity,body,balance,overall,total_cup_points,moisture_percentage,quakers,color,altitude
"j.j. borja nathan, s.a.",agua caliente,el salvador,bourbon,washed / wet,7.33,7.67,7.25,7.67,7.83,7.42,7.17,82.33,11.8,0,bluish-green,1200.0
宋煦仁,寶山謐靚,taiwan,unknown,natural / dry,7.67,7.58,7.42,7.5,7.33,7.42,7.42,82.33,10.8,0,green,140.0
sand crispin espiritu,planta callao,peru,caturra,washed / wet,7.67,7.5,7.33,7.58,7.33,7.42,7.42,82.25,11.7,1,greenish,1600.0
manny ochoa,manny's farm,united states (hawaii),typica,washed / wet,7.75,7.42,7.33,7.5,7.33,7.5,7.33,82.17,10.6,0,green,1200.0
slelected small holder,taylor winch,kenya,"sl28,sl34,ruiru11",washed / wet,7.5,7.5,7.42,7.5,7.25,7.5,7.5,82.17,11.2,0,green,1725.0
fausto nahun maldonado,cigrah,honduras,catuai,washed / wet,7.67,7.5,7.25,7.5,7.5,7.33,7.42,82.17,10.6,0,green,1368.0
何育達,金暖農場,taiwan,unknown,washed / wet,7.5,7.67,7.33,7.5,7.25,7.33,7.5,82.08,9.7,0,bluish-green,600.0
彭聰明,好客農埸,taiwan,unknown,pulped natural / honey,7.33,7.42,7.42,7.5,7.42,7.5,7.5,82.08,8.1,0,greenish,460.0
宗素霞,拉拉山祖嵐咖啡莊園,taiwan,unknown,washed / wet,7.5,7.58,7.42,7.42,7.25,7.42,7.42,82.0,8.2,0,green,500.0
doi tung development project,dry mill,thailand,catimor,washed / wet,7.17,7.5,7.42,7.42,7.58,7.5,7.42,82.0,9.8,0,green,1000.0
san diego mill,dosmil,costa rica,caturra,washed / wet,7.42,7.42,7.42,7.33,7.58,7.33,7.5,82.0,10.5,2,green,1500.0
"exportcafe, s.a.",dry mill of exportcafe,guatemala,unknown,washed / wet,7.42,7.42,7.42,7.33,7.5,7.42,7.5,82.0,11.5,1,blue-green,1450.0
pt. wahana graha makmur group,pt. wahana graha makmur medan,indonesia,unknown,pulped natural / honey,7.67,7.33,7.25,7.67,7.42,7.25,7.42,82.0,12.5,0,bluish-green,1350.0
sandro crispin espiritu,planta callao,peru,caturra,washed / wet,7.5,7.5,7.33,7.5,7.33,7.33,7.42,81.92,11.6,2,greenish,1600.0
la minita,multiple smallholder farms,guatemala,caturra,washed / wet,7.33,7.42,7.33,7.42,7.58,7.42,7.42,81.92,10.3,0,greenish,1400.0
李秀圓,阿拉思家,taiwan,typica,pulped natural / honey,7.25,7.42,7.42,7.5,7.42,7.42,7.42,81.83,11.3,0,green,300.0
viet coffee company limited,hulling facility,vietnam,catimor,pulped natural / honey,7.5,7.5,7.25,7.42,7.42,7.42,7.33,81.83,11.2,0,green,5400.0
luis flavio pereira de castro,cocarive,brazil,yellow catuai,pulped natural / honey,7.5,7.5,7.42,7.33,7.33,7.33,7.42,81.83,11.3,0,pale-yellow,1000.0
paulo enidio crabi,owned by producer,brazil,catucai,natural / dry,7.42,7.5,7.58,7.33,7.33,7.25,7.33,81.75,11.1,0,yellow-green,950.0
more than one,trilladora cca buga,colombia,santander,washed / wet,7.33,7.5,7.33,7.42,7.42,7.42,7.33,81.75,11.2,0,yellow-green,1574.0
josé gerardo gutierrez morales,"coatepec, veracruz",mexico,typica,washed / wet,7.58,7.42,7.25,7.25,7.5,7.33,7.33,81.67,11.8,0,green,1200.0
fjo orlich hno ltda,beneficio la giorgia,costa rica,caturra,washed / wet,7.33,7.42,7.25,7.42,7.42,7.33,7.42,81.58,9.7,2,green,1200.0
呂星輝,橫鹿,taiwan,typica,pulped natural / honey,7.42,7.5,7.33,7.33,7.33,7.33,7.33,81.58,9.0,0,yellow-green,300.0
侯奕瑋,大屯29莊園,taiwan,unknown,pulped natural / honey,7.33,7.5,7.42,7.33,7.33,7.25,7.33,81.5,8.5,0,green,435.0
doi tung development project,dry mill,thailand,java,washed / wet,7.33,7.42,7.25,7.33,7.5,7.42,7.17,81.42,11.6,0,green,1400.0
prakol saelee,miramar coffee,thailand,typica bourbon caturra catimor,natural / dry,7.42,7.25,7.33,7.42,7.33,7.33,7.25,81.33,10.5,0,yellowish,1400.0
doi tung development project,dry mill,thailand,catimor,washed / wet,7.25,7.25,7.42,7.25,7.42,7.42,7.17,81.17,10.4,0,green,700.0
escalera,escalera,colombia,"caturra,colombia,castillo",washed / wet,7.42,7.25,7.25,7.42,7.17,7.33,7.33,81.17,11.4,2,greenish,1550.0
cocapil,dry mill of cocapil,brazil,unknown,natural / dry,7.42,7.42,7.25,7.25,7.17,7.25,7.25,81.0,10.6,2,greenish,1200.0
roselia yglesias,"optimum coffee, san salvador, el salvador",el salvador,bourbon,natural / dry,7.42,7.33,7.33,7.5,7.08,7.0,7.17,80.83,10.5,8,bluish-green,1400.0
varios productores,lavado,nicaragua,caturra,washed / wet,7.25,7.25,7.17,7.33,7.08,7.25,7.17,80.5,11.5,1,greenish,1100.0
sajonia estate coffee s.a.,sajonia estate coffee s.a.,nicaragua,sarchimor,washed / wet,7.42,7.17,7.0,7.08,7.42,7.17,7.17,80.42,11.2,0,green,1000.0
finca mallorca,finca mallorca,colombia,"castillo,caturra,bourbon",washed / wet,7.25,7.25,7.17,7.33,7.0,7.17,7.25,80.42,11.0,3,greenish,1600.0
sandro crispin espiritu,callao plant,peru,caturra,washed / wet,7.5,7.25,7.17,7.17,7.17,7.08,7.0,80.33,11.8,6,greenish,1600.0
roselia yglesias,"optimum coffee, san salvador, el salvador",el salvador,pacas,natural / dry,7.08,7.25,7.08,7.42,7.42,7.08,7.0,80.33,11.5,10,bluish-green,1300.0
cocapil,dry mill,brazil,catuai and mundo novo,natural / dry,7.25,7.17,7.17,7.08,7.17,7.17,7.17,80.17,11.6,1,greenish,1200.0
ipanema coffees,dry mill,brazil,mundo novo,natural / dry,7.17,7.17,6.92,7.17,7.42,7.17,7.08,80.08,11.4,0,green,950.0
exportadora atlantic s.a.,beneficio atlantic sébaco,nicaragua,shg,natural / dry,7.33,7.08,6.75,7.17,7.42,7.17,7.08,80.0,10.4,2,green,1200.0
"lao minh tien coffee sole co.,ltd",dry mill,laos,catimor,washed / wet,7.25,7.17,7.08,7.0,7.08,7.08,7.0,79.67,11.6,9,green,1300.0
roselia yglesias,"optimum coffee, san salvador, el salvador",el salvador,maragogype,natural / dry,6.5,6.75,6.75,7.17,7.08,7.0,6.83,78.08,11.0,12,bluish-green,1200.0
walter matter,beneficio humedo/seco,brazil,mundo novo,semi washed,7.25,7.08,6.67,6.83,6.83,6.67,6.67,78.0,11.3,0,green,975.0
