producer,mill,country_of_origin,variety,processing_method,aroma,flavor,aftertaste,acidity,body,balance,overall,total_cup_points,moisture_percentage,quakers,color,altitude
small holder,nkg,kenya,sl28,washed / wet,8.17,7.75,7.83,7.58,7.92,8.0,8.0,85.25,9.2,0,greenish,1750.0
陳榮豐,yes,taiwan,gesha,washed / wet,7.75,7.92,7.75,8.0,7.83,7.92,8.0,85.17,10.3,0,bluish-green,850.0
李志祥 li zhi-xia,花蓮縣秀林鄉特用作物（咖啡）產銷第一班agriculture production and marketing groups of hualien shlin township special crop (coffee) 1st class,taiwan,typica,natural / dry,8.0,7.92,7.83,7.92,7.75,7.75,7.92,85.08,10.0,0,brownish,400.0
陳科翰,乾燥機、脫殼機,taiwan,typica,washed / wet,8.0,8.08,7.67,7.75,7.92,7.83,7.83,85.08,10.5,0,greenish,1000.0
黃簡秋蘭,香夾蘭莊園,taiwan,gesha,washed / wet,8.0,7.92,7.67,8.0,7.75,7.83,7.92,85.08,10.0,0,pale-yellow,800.0
kyagalanyi coffee limited,dry mill,uganda,sl14,washed / wet,8.0,7.92,7.75,7.75,7.75,7.92,7.92,85.0,11.0,0,green,1905.0
劉孟宗 liu meng tsung,愛姬咖啡莊園igfarm,taiwan,typica,unknown,7.92,8.0,7.92,8.0,7.58,7.75,7.83,85.0,10.9,0,green,150.0
王清連,青山坪咖啡農場,taiwan,gesha,natural / dry,8.17,8.08,7.83,7.67,7.67,7.75,7.83,85.0,10.1,0,yellow-green,800.0
varios productores,beneficio pastores,guatemala,caturra,washed / wet,7.67,8.08,7.67,8.0,7.92,7.83,7.83,85.0,9.9,1,green,1600.0
pablo chuy,beneficio las americas,guatemala,catuai,washed / wet,7.67,8.0,7.75,7.92,8.0,7.83,7.83,85.0,11.3,0,green,4700.0
san francisco cotzal,"inmobiliaria e inversiones dos mil, s.a.",guatemala,caturra,washed / wet,7.83,7.92,7.75,8.0,7.75,7.75,7.92,84.92,11.7,3,green,1600.0
黃俊淦,六曲窩,taiwan,typica,washed / wet,7.92,7.92,7.83,7.83,7.75,7.83,7.83,84.92,9.5,0,green,375.0
戴禎男,北平山林,taiwan,yellow bourbon,natural / dry,8.0,8.0,7.75,7.75,7.67,7.75,7.92,84.83,9.7,0,brownish,230.0
pt indo cafco north sumatera,pt indo cafco,indonesia,catimor,unknown,7.83,7.92,7.75,7.83,7.83,7.83,7.83,84.83,11.9,3,bluish-green,1200.0
ruya yayu,no.,peru,gesha,washed / wet,8.0,8.0,7.83,7.83,7.58,7.83,7.75,84.83,10.7,0,greenish,1750.0
iyenga amcos,city coffee ltd,"tanzania, united republic of",bourbon,washed / wet,7.92,7.75,7.75,7.92,7.83,7.83,7.83,84.83,11.2,0,greenish,1654.0
鄭虞坪,優遊吧斯瑪翡咖啡莊園,taiwan,sl34,natural / dry,7.83,7.83,7.67,7.67,7.83,8.0,8.0,84.83,9.5,0,greenish,1300.0
吳振宏,森悅高峰咖啡莊園,taiwan,sl34,washed / wet,7.67,7.92,7.92,7.83,7.75,7.83,7.83,84.75,10.4,0,green,1400.0
homero paiva,wet-hulling,brazil,yellow bourbon,double carbonic maceration / natural,7.83,7.92,7.75,7.92,7.67,7.83,7.83,84.75,11.2,1,green,1100.0
la santa,la santa,panama,catuai,washed / wet,7.83,7.83,7.75,7.92,7.83,7.75,7.83,84.75,10.3,1,bluish-green,1200.0
卓榮華,乾燥機、脫殼機,taiwan,yellow bourbon,pulped natural / honey,7.92,8.08,7.67,7.92,7.67,7.75,7.75,84.75,10.0,0,blue-green,1200.0
varios productores,varios beneficios,guatemala,caturra,washed / wet,7.67,8.0,7.67,7.83,7.92,7.67,7.92,84.67,10.6,0,green,1600.0
"valbros, s. a.",eco coffee,guatemala,bourbon,natural / dry,7.83,8.0,7.67,7.83,7.75,7.75,7.83,84.67,10.9,3,yellow-green,4895.0
martin gutierrez,beneficio montañas del diamante,costa rica,caturra,washed / wet,7.58,7.83,7.5,7.67,7.83,7.67,8.58,84.67,10.0,1,green,1850.0
羅政宏,羅馬8號莊園,taiwan,typica,pulped natural / honey,7.83,7.83,7.75,7.75,7.75,7.75,7.92,84.58,9.6,0,greenish,250.0
"郭雅聰（kuo,ya-tsung）",大鋤花間(dachu coffee estate),taiwan,gesha,pulped natural / honey,8.17,7.83,7.67,7.83,7.67,7.67,7.75,84.58,11.5,0,green,700.0
nicanola coffee,"compare coperativo condega, esteli, nicaragua",nicaragua,catrenic,natural / dry,7.92,7.75,7.67,7.67,7.83,7.75,8.0,84.58,9.9,0,green,1350.0
浦瀚文,雅慕伊咖啡莊園,taiwan,gesha,washed / wet,8.08,7.83,7.67,7.67,7.67,7.75,7.92,84.58,11.2,0,green,1250.0
王政淵,名陽園,taiwan,sl34,natural / dry,7.83,8.0,7.67,7.75,7.67,7.75,7.92,84.58,10.3,0,green,1450.0
tong phuc lam trading services company limited,cupncare,vietnam,catimor,natural / dry,8.0,7.83,7.75,7.67,7.58,7.83,7.92,84.58,11.6,0,brownish,650.0
santa maria de dota,la montana tarrazu mill,costa rica,gesha,washed / wet,7.75,7.83,7.67,7.83,7.75,7.75,7.92,84.5,11.7,1,green,1900.0
李鴻儀,苗55咖啡莊園,taiwan,unknown,pulped natural / honey,7.75,7.92,7.83,7.75,7.75,7.75,7.75,84.5,11.3,0,bluish-green,520.0
jose nahum maldonado,global coffee,honduras,catuai,washed / wet,7.83,7.92,7.75,7.75,7.75,7.75,7.75,84.5,9.8,0,green,1368.0
tracon trading plc,5.2ha,ethiopia,ethiopian heirlooms,washed / wet,7.92,7.83,7.75,7.92,7.58,7.67,7.83,84.5,10.9,0,green,1943.0
黃怡瑄 huang yi-xuan,917農場 (917 farm),taiwan,typica,natural / dry,8.08,7.92,7.75,7.83,7.5,7.58,7.83,84.5,10.2,0,green,400.0
陳榮豐,皇庭咖啡莊園,taiwan,gesha,washed / wet,7.83,8.0,7.5,7.75,7.75,7.75,7.83,84.42,10.1,0,bluish-green,850.0
maria de los angeles perez,unknown,guatemala,bourbon,washed / wet,7.67,7.83,7.75,7.75,7.83,7.75,7.75,84.33,9.2,1,green,1350.0
jose & berta miranda,greenwell,united states (hawaii),catuai,washed / wet,7.92,7.83,7.75,7.92,7.5,7.67,7.75,84.33,10.1,0,yellow-green,1300.0
bisrat melaku,washing station,ethiopia,ethiopian heirlooms,natural / dry,7.83,7.75,7.58,7.92,8.0,7.5,7.75,84.33,11.0,5,yellow-green,2361.0
various producers,san nicolas,el salvador,pacamara,pulped natural / honey,7.83,7.83,7.83,7.83,7.67,7.67,7.67,84.33,10.3,0,brownish,1500.0
grupo tap,trilladora santa tirsa,colombia,castillo and colombia blend,washed / wet,7.75,7.75,7.75,7.75,7.83,7.67,7.83,84.33,11.6,0,green,2100.0
"lintong nihuta/dolok sanggul,sumatera utara","lintong nihuta/dolok sanggul,sumatera utara",indonesia,"jember,tim-tim,ateng",wet hulling,7.67,7.67,7.83,7.83,7.67,7.75,7.83,84.25,11.5,1,blue-green,1300.0
"cafetalera paquim, s.a.",san jose del lago,guatemala,typica,washed / wet,7.58,7.92,7.67,7.75,7.83,7.75,7.75,84.25,10.0,0,green,1600.0
marc dumont,on the farm (mechanical huller and polisher / sorting by hand),madagascar,bourbon,washed / wet,7.92,7.92,7.58,7.75,7.58,7.67,7.83,84.25,12.1,0,blue-green,1500.0
jose nahum maldonado,global coffee,honduras,catuai,washed / wet,7.75,7.75,7.58,7.83,7.75,7.75,7.75,84.17,10.2,0,green,1368.0
san francisco cotzal,"inmobiliaria e inversiones dos mil, s.a.",guatemala,caturra,washed / wet,7.58,7.92,7.58,7.83,7.75,7.67,7.75,84.08,11.0,3,green,1600.0
邱建明,竹崙子莊園,taiwan,unknown,pulped natural / honey,7.83,7.92,7.83,7.58,7.58,7.67,7.67,84.08,10.8,0,greenish,150.0
李泓錡,元富咖啡莊園,taiwan,gesha,natural / dry,7.92,7.75,7.67,7.75,7.75,8.0,7.92,84.08,10.6,0,yellow-green,800.0
varios productores,el trèbol/lìnea gourmet,guatemala,caturra,washed / wet,7.67,7.83,7.67,7.83,7.75,7.67,7.67,84.08,11.0,1,green,1550.0
varios productores,el trebol/linea gourmet,guatemala,caturra,washed / wet,7.67,7.92,7.67,7.75,7.67,7.58,7.75,84.0,11.0,2,green,1550.0
irma consuelo bonilla hernandez,de la casa,honduras,typica,pulped natural / honey,7.75,7.75,7.75,7.67,7.75,7.67,7.67,84.0,9.4,0,green,1800.0
dorman (t) ltd,rafiki mill,"tanzania, united republic of",bourbon,washed / wet,7.58,7.67,7.75,7.75,7.75,7.75,7.75,84.0,9.8,0,greenish,1675.0
ecom agroindustrial,beneficio humedo,ethiopia,ethiopian heirlooms,washed / wet,8.0,7.75,7.5,7.67,7.67,7.67,7.75,84.0,11.3,1,green,1800.0
dorman,gourmet coffee mill,"tanzania, united republic of",bourbon,washed / wet,7.75,7.58,7.58,7.92,7.67,7.75,7.75,84.0,11.6,0,greenish,1550.0
cooperativa central de caficultores del huila,laumayer armenia,colombia,caturra,washed / wet,7.67,7.83,7.58,7.92,7.67,7.67,7.67,84.0,13.3,2,green,1550.0
martin gutierrez,beneficio montañas del diamante,costa rica,caturra,washed / wet,7.67,7.92,7.58,7.75,7.67,7.58,7.75,83.92,9.5,0,green,1850.0
various producers,sube,guatemala,gesha,natural / dry,7.83,7.83,7.58,7.67,7.67,7.58,7.75,83.92,11.9,0,greenish,1900.0
"cafetalera paquim, s.a.",san jose del lago,guatemala,bourbon,washed / wet,7.58,7.83,7.58,7.75,7.67,7.75,7.75,83.92,10.0,1,green,1600.0
phaibul kitcharoen,baan san charoen,thailand,catimor,natural / dry,7.75,7.67,7.58,7.75,7.75,7.67,7.75,83.92,11.6,0,yellowish,1350.0
